"","i_oil","a_oil","r_oil"
"1",2114,66.0999984741211,67.3374977111816
"2",2115,65.6600036621094,67.504997253418
"3",2116,65.7300033569336,67.6724967956543
"4",2123,64.4499969482422,66.5266647338867
"5",2124,64.9599990844727,66.6033325195312
"6",2481,91.620002746582,93.6179985046387
"7",2482,91.3600006103516,95.1359985351562
"8",2483,90.7099990844727,96.6539985656738
"9",2484,91.1800003051758,98.1719985961914
"10",2485,91.8199996948242,99.689998626709
"11",2486,108.589996337891,101.207998657227
"12",2487,109.129997253418,102.725998687744
"13",2488,110,104.243998718262
"14",2489,108.639999389648,105.761998748779
"15",2491,110.190002441406,107.36333211263
"16",2492,109.620002746582,107.446665445964
"17",2493,109.73999786377,107.529998779297
"18",2494,109.800003051758,107.61333211263
"19",2495,109.529998779297,107.696665445964
"20",2497,111.01000213623,107.818146882234
"21",2498,112.839996337891,107.856294985171
"22",2499,112.849998474121,107.894443088108
"23",2500,110.76000213623,107.932591191045
"24",2501,111.809997558594,107.970739293981
"25",2502,112.730003356934,108.008887396918
"26",2503,115.580001831055,108.047035499855
"27",2504,118.879997253418,108.085183602792
"28",2505,117.449996948242,108.123331705729
"29",2506,119.059997558594,108.161479808666
"30",2507,118.690002441406,108.199627911603
"31",2508,119.930000305176,108.23777601454
"32",2509,119.75,108.275924117477
"33",2510,119.019996643066,108.314072220414
"34",2511,125.610000610352,108.352220323351
"35",2512,128.389999389648,108.390368426288
"36",2513,127.379997253418,108.428516529225
"37",2514,127.809997558594,108.466664632161
"38",2515,121.970001220703,108.504812735098
"39",2516,125.669998168945,108.542960838035
"40",2517,124.199996948242,108.581108940972
"41",2518,117.629997253418,108.619257043909
"42",2519,118.059997558594,108.657405146846
"43",2520,118.069999694824,108.695553249783
"44",2521,116.919998168945,108.73370135272
"45",2522,111.699996948242,108.771849455657
"46",2525,114.599998474121,110.159999847412
"47",2546,95.2399978637695,101.039999008179
"48",2547,95,99.9799995422363
"49",2548,96.1500015258789,98.9200000762939
"50",2550,96.5500030517578,97.7224998474121
"51",2551,95.5800018310547,97.5849990844727
"52",2552,95.4199981689453,97.4474983215332
"53",2554,95.4199981689453,97.1349983215332
"54",2556,96.1600036621094,97.9299987792969
"55",2557,95.8300018310547,98.8999984741211
"56",2558,94.5699996948242,99.8699981689453
"57",2559,94.9000015258789,100.83999786377
"58",2588,113.730003356934,112.568128108978
"59",2589,115.080001831055,112.621253013611
"60",2590,114.599998474121,112.674377918243
"61",2591,113.870002746582,112.727502822876
"62",2592,113.76000213623,112.780627727509
"63",2593,114.930000305176,112.833752632141
"64",2594,114.449996948242,112.886877536774
"65",2596,114.349998474121,112.490001678467
"66",2599,113.370002746582,112.020000457764
"67",2604,113.290000915527,111.646664937337
"68",2605,113.25,112.193331400553
"69",2607,113.230003356934,110.173332214355
"70",2608,112.849998474121,107.606666564941
"71",2667,94.5,95.8600006103516
"72",2679,94.2600021362305,96.5499992370605
"73",2681,94.6100006103516,96.0049997965495
"74",2682,94.0500030517578,96.759999593099
"75",2683,94.1900024414062,97.5149993896484
"76",2684,94.120002746582,98.2699991861979
"77",2685,94.8499984741211,99.0249989827474
"78",2815,99.4000015258789,100.369998931885
"79",2818,99.5299987792969,102.365001678467
