"","i_vol","a_vol","r_vol"
"1",456,58565200,5436466.66666667
"2",457,30337100,8041133.33333333
"3",463,30401400,14501800
"4",516,31241400,17532350
"5",518,28395000,18941650
"6",831,32870400,15583350
"7",837,55278500,13432433.3333333
"8",838,33648800,20271066.6666667
"9",844,83120500,2621960
"10",845,56912800,5243920
"11",846,43896200,7865880
"12",847,46047000,10487840
"13",848,37078600,13109800
"14",849,31143500,15731760
"15",850,62990100,18353720
"16",851,37875200,20975680
"17",852,43160500,23597640
"18",898,41603500,8789250
"19",1103,28332800,6418033.33333333
"20",1104,42362800,12836066.6666667
"21",1106,31681100,21105833.3333333
"22",1107,27743000,22957566.6666667
"23",1222,30076500,10118000
"24",1614,48351800,11676650
"25",1657,27809600,12419450
"26",1780,38764400,4308200
"27",1979,32666900,18192100
"28",1985,38154700,23306800
"29",2010,47478900,17879500
"30",2117,34450600,17366500
"31",2124,29795500,22335750
"32",2561,38832700,6623200
"33",2566,32272200,13433100
"34",2790,29112300,10464850
"35",2799,28942900,7916400
"36",2832,28348200,6499150
"37",2883,29005000,11386550
