,data,hora_ajustada,text,texto_processado,sentimento
2022-02-01 10:00:00,2022-02-01,10,"Dica de #leitura direto da nossa #biblioteca pra você:

📚 A psicologia financeira
O #livro traz casos de sucesso e fracassos que mostram a importância do fator psicológico nas #finanças, oferecendo aprendizados para fazer o #dinheiro render.

Já leu esse livro? Fale o que achou. Rápidas: Via, Méliuz, CBA, Mobly, Neoenergia, Arezzo - Finance News 
https://t.co/Zrc0Thp7Fa
#VIIA3 #CBAV3 #NEOE3",dica leitura direto biblioteca pra psicologia financeira livro traz casos sucesso fracassos mostram importância fator psicológico finanças oferecendo aprendizados fazer dinheiro render leu livro fale achou rápidas via méliuz cba mobly neoenergia arezzo finance news viia cbav neoe,0.7964
2022-02-01 12:00:00,2022-02-01,12,"BLOCK TRADE.  Starboard vende metade da posição em 3R, pondo fim ao overhang https://t.co/Pf4m7UzDci #RRRP3 https://t.co/YjLxiYrVvU",block trade starboard vende metade posição pondo fim overhang rrrp,0.0
2022-02-01 13:00:00,2022-02-01,13,"Atualização das 13h30: Vale, 3R, Banco Pan, Randon e outros destaques - Finance News 
https://t.co/abmIaf37jI
#RRRP3 #RAPT4 #BPAN4 #PETR4 #Ibovespa",atualização vale banco pan randon outros destaques finance news rrrp rapt bpan petr ibovespa,-0.4767
2022-02-01 14:00:00,2022-02-01,14,"⚠️ #IbovespaFuturo registra queda. Entenda por que.   📉

Veja essa e outras #notícias que vão movimentar o #mercadofinanceiro em https://t.co/AS8GV1L3OR

Informe-se em poucos minutos! ⏰ 

#Investimentos #B3 #IPCA #SELIC #Inflação #SELIC #Bitcoin #Ibovespa #ContadeLuz RESEARCH. Inter fica mais realista no crédito e vale R$ 40, diz JP Morgan https://t.co/6mKxM7P6Ru #BIDI11 https://t.co/4yCbe172eN FUNDOS IMOBILIÁRIOS. CVM suspende decisão sobre FIIs (por enquanto) https://t.co/DOcdJBXmds https://t.co/WPcD4FHvA9",⚠️ ibovespafuturo registra queda entenda veja outras notícias vão movimentar mercadofinanceiro informe-se poucos minutos investimentos ipca selic inflação selic bitcoin ibovespa contadeluz research inter fica realista crédito vale diz jp morgan bidi fundos imobiliários cvm suspende decisão sobre fiis enquanto,0.2732
2022-02-01 16:00:00,2022-02-01,16,"Lucro ajustado da Romi cresce e soma R$ 54,7 milhões no 4T21 - Finance News 
https://t.co/C0Mmw9ZNhz
#ROMI3 #Romi Queda das techs e fator Lula: as projeções de Verde e SPX para as bolsas | Exame Invest https://t.co/NX6i3eTzSL Romi anuncia o pagamento de dividendo - Finance News 
https://t.co/20SOog7b2W
#ROMI3 #dividendo Vale conclui a venda e transferência da sua participação de 50% na California Steel Industries  - Finance News 
https://t.co/173Kt1Gp7r
#Vale #VALE3 Starboard vende ações da 3R Petroleum e zera participação na empresa – Money Times https://t.co/S76qv5ocji IRB pode precisar de um novo aumento de capital | Brazil Journal https://t.co/7ycUpS9Gkr IRB pode precisar de um novo aumento de capital https://t.co/OJoVIsanU9 #IRBR3 https://t.co/nwc3jDtCkU Lira e Pacheco se reúnem para tratar de pacote para baixar preço de combustíveis | Política | Valor Econômico https://t.co/xKOUKxshtQ Dona do Google cresce 32% em receita e ações sobem 7% - Link - Estadão https://t.co/DHMWXNvvej GM tem queda de quase 40% no lucro líquido no quarto trimestre de 2021 - Economia - Estadão https://t.co/yMYstCteUS Santander Brasil anuncia dividendo e JCP - Finance News 
https://t.co/M8g8sesK8b
#Santander #SANB11 #dividendo #JCP Vale (VALE3) conclui venda de participação na California Steel Industries para Nucor - InfoMoney https://t.co/s1gX9dQzOR RT @mycapinvest: ⚠️ Fechamento da Bolsa ⚠️

#IBOV fechou em alta de 0,97% cotado em 113.228 pontos.

🟢 Maiores altas

BIDI11 (+8,08%)
VALE3… Já imaginou os melhores conteúdos sobre o mundo dos #investimentos direto no seu celular?

Não precisa imaginar mais!
Participe do nosso canal no #Telegram e receba TUDO, em primeira mão.

Só clicar em https://t.co/VlQMum5dyy, se inscrever e pronto!

#MercadoFinanceiro #Investir https://t.co/sw37dh0uDn ESG JOURNAL. Como eliminar o plástico do banheiro — começando pelo shampoo https://t.co/tCUG9MiQf3 https://t.co/YSdBioIv9W Juros fecham em queda, perto das mínimas, seguindo câmbio e à espera do Copom | Finanças | Valor Econômico https://t.co/ubPrblOwGw EDITORIAL: Justiça para Moïse https://t.co/L7AG6t8zmN https://t.co/Rr0C5iMr8I Olá investidores! 
Confiram as empresas que distribuem dividendos nos próximos dias. 👇📅💰

#B3 #Investimentos #MercadoFinanceiro #Dividendo #JCP #RendimentoTributado #Ações #BBDC3 #BBDC4 #ITUB4 #SANB11 https://t.co/4Yxo4Cgagw BTG Pactual compra a Elite Corretora - Finance News 
https://t.co/FDvTz0VBTU
#BPAC11 Americanas e Vibra fazem parceria e criam a Vem Conveniência - Finance News 
https://t.co/oaLmKrq6Go
#VBBR3 #AMER3 Mentiras que te contaram sobre #investimentos 👀

👉 A regra de isenção de #impostoderenda de R$ 20 mil é válida para operações #daytrade.

❌ Não. A regra só se aplica à operações comuns, realizadas no #mercadoàvista. Assim, day trade não entra e não tem isenção. 

Sabia dessa?",lucro ajustado romi cresce soma milhões finance news romi romi queda techs fator lula projeções verde spx bolsas exame invest romi anuncia pagamento dividendo finance news romi dividendo vale conclui venda transferência participação california steel industries finance news vale vale starboard vende ações petroleum zera participação empresa money times irb pode precisar novo aumento capital brazil journal irb pode precisar novo aumento capital irbr lira pacheco reúnem tratar pacote baixar preço combustíveis política valor econômico dona google cresce receita ações sobem link estadão gm queda quase lucro líquido quarto trimestre economia estadão santander brasil anuncia dividendo jcp finance news santander sanb dividendo jcp vale vale conclui venda participação california steel industries nucor infomoney rt mycapinvest ⚠️ fechamento bolsa ⚠️ ibov fechou alta cotado pontos maiores altas bidi vale… imaginou melhores conteúdos sobre mundo investimentos direto celular precisa imaginar participe canal telegram receba tudo primeira mão clicar inscrever pronto mercadofinanceiro investir esg journal eliminar plástico banheiro começando shampoo juros fecham queda perto mínimas seguindo câmbio espera copom finanças valor econômico editorial justiça moïse olá investidores confiram empresas distribuem dividendos próximos dias 👇📅💰 investimentos mercadofinanceiro dividendo jcp rendimentotributado ações bbdc bbdc itub sanb btg pactual compra elite corretora finance news bpac americanas vibra fazem parceria criam vem conveniência finance news vbbr amer mentiras contaram sobre investimentos regra isenção impostoderenda mil válida operações daytrade regra aplica operações comuns realizadas mercadoàvista assim day trade entra isenção sabia dessa,0.9231
2022-02-02 10:00:00,2022-02-02,10,"Rápidas: BTG, Meal, petroleiras, BRF, Santander, Cielo - Finance News 
https://t.co/Vs6GpzIWCW
#BPAC11 #BRFS3 #SANB11",rápidas btg meal petroleiras brf santander cielo finance news bpac brfs sanb,0.0
2022-02-02 11:00:00,2022-02-02,11,Ações do Santander têm queda firme após balanço abaixo do esperado pelo mercado | Finanças | Valor Econômico https://t.co/YjUwle88cn,ações santander têm queda firme após balanço abaixo esperado mercado finanças valor econômico,0.4019
2022-02-02 12:00:00,2022-02-02,12,"Vendas de veículos caem e têm pior janeiro em 17 anos, diz Fenabrave - Economia https://t.co/5zaUgiVQk0",vendas veículos caem têm pior janeiro anos diz fenabrave economia,-0.6249
2022-02-02 13:00:00,2022-02-02,13,"Atualização das 13h30: IRB, Assaí, BRF e outros destaques - Finance News 
https://t.co/fY2q7nE11k
#IRBR3 #Ibovespa #ASAI3 LOV’ THAT CHICKEN.  Maior acionista da IMC quer remover ‘poison pill’  https://t.co/VVJC36C4i5 #MEAL3 https://t.co/x75zKk7zgU A #CalculadoradeIR serve para atender pessoas como o José Braz. 👇

Oferecer uma plataforma que descomplique o cálculo do #impostoderenda dos #investimentos e suporte quando os usuários precisarem de um ""help"". 

Quer conhecer?
Crie conta gratuitamente: https://t.co/oKK1wX3oqm https://t.co/Tm76HT3dcF Estoques de petróleo dos EUA contrariam estimativa e recuam na semana passada | Finanças | Valor Econômico https://t.co/gbJspq07Vb IMC, dona do Frango Assado, diz que UV Gestora quer alterar cláusula de barreira em assembleia | Empresas | Valor Econômico https://t.co/Pjq8IjZHiE",atualização irb assaí brf outros destaques finance news irbr ibovespa asai lov that chicken maior acionista imc quer remover poison pill meal calculadoradeir serve atender pessoas josé braz oferecer plataforma descomplique cálculo impostoderenda investimentos suporte usuários precisarem `` help '' quer conhecer crie conta gratuitamente estoques petróleo eua contrariam estimativa recuam semana passada finanças valor econômico imc dona frango assado diz uv gestora quer alterar cláusula barreira assembleia empresas valor econômico,0.8555
2022-02-02 14:00:00,2022-02-02,14,"Ministério da Economia estuda cortes no IPI de 15% a 30%, diz fonte da pasta | Brasil | Valor Econômico https://t.co/vfq7jfjl05",ministério economia estuda cortes ipi diz fonte pasta brasil valor econômico,0.4019
