"","i_oil","a_oil","r_oil"
"1",2560,67.4599990844727,67.7649993896484
"2",2561,67.1699981689453,67.7799987792969
"3",2562,66.0999984741211,67.7949981689453
"4",2563,65.6600036621094,67.8099975585938
"5",2564,65.7300033569336,67.8249969482422
"6",2569,66.620002746582,67.4788903130425
"7",2570,66.4499969482422,67.6277787950304
"8",2571,64.4499969482422,67.7766672770182
"9",2572,64.9599990844727,67.9255557590061
"10",2573,66.6800003051758,68.0744442409939
"11",2574,66.4499969482422,68.2233327229818
"12",2575,66.1699981689453,68.3722212049696
"13",2576,66.2600021362305,68.5211096869575
"14",2582,66.1699981689453,67.745002746582
"15",2643,66.4300003051758,67.3666661580404
"16",2644,66.2900009155273,67.4833323160807
"17",2927,91.8899993896484,93.2339972601996
"18",2928,92.0999984741211,93.5879972669813
"19",2929,91.620002746582,93.941997273763
"20",2930,91.3600006103516,94.2959972805447
"21",2931,90.7099990844727,94.6499972873264
"22",2932,91.1800003051758,95.0039972941081
"23",2933,91.8199996948242,95.3579973008897
"24",2934,108.589996337891,95.7119973076714
"25",2935,109.129997253418,96.0659973144531
"26",2936,110,96.4199973212348
"27",2937,108.639999389648,96.7739973280165
"28",2938,107.279998779297,97.1279973347982
"29",2939,110.190002441406,97.4819973415799
"30",2940,109.620002746582,97.8359973483615
"31",2941,109.73999786377,98.1899973551432
"32",2942,109.800003051758,98.5439973619249
"33",2943,109.529998779297,98.8979973687066
"34",2944,107.779998779297,99.2519973754883
"35",2945,111.01000213623,99.60599738227
"36",2946,112.839996337891,99.9599973890517
"37",2947,112.849998474121,100.313997395833
"38",2948,110.76000213623,100.667997402615
"39",2949,111.809997558594,101.021997409397
"40",2950,112.730003356934,101.375997416178
"41",2951,115.580001831055,101.72999742296
"42",2952,118.879997253418,102.083997429742
"43",2953,117.449996948242,102.437997436523
"44",2954,119.059997558594,102.791997443305
"45",2955,118.690002441406,103.145997450087
"46",2956,119.930000305176,103.499997456868
"47",2957,119.75,103.85399746365
"48",2958,119.019996643066,104.207997470432
"49",2959,125.610000610352,104.561997477214
"50",2960,128.389999389648,104.915997483995
"51",2961,127.379997253418,105.269997490777
"52",2962,127.809997558594,105.623997497559
"53",2963,121.970001220703,105.97799750434
"54",2964,125.669998168945,106.331997511122
"55",2965,124.199996948242,106.685997517904
"56",2966,117.629997253418,107.039997524685
"57",2967,118.059997558594,107.393997531467
"58",2968,118.069999694824,107.747997538249
"59",2969,116.919998168945,108.10199754503
"60",2970,111.699996948242,108.455997551812
"61",2973,114.599998474121,109.693331400553
"62",2974,110.690002441406,109.756665547689
"63",2994,95.2399978637695,101.039999008179
"64",2995,95,99.9799995422363
"65",2996,96.1500015258789,98.9200000762939
"66",2998,96.5500030517578,98.2190912420099
"67",2999,95.5800018310547,98.5781818736683
"68",3000,95.4199981689453,98.9372725053267
"69",3001,97.3099975585938,99.2963631369851
"70",3002,95.4199981689453,99.6554537686435
"71",3003,96.9599990844727,100.014544400302
"72",3004,96.1600036621094,100.37363503196
"73",3005,95.8300018310547,100.732725663619
"74",3006,94.5699996948242,101.091816295277
"75",3007,94.9000015258789,101.450906926935
"76",3037,115.080001831055,113.77666982015
"77",3038,114.599998474121,113.823336283366
"78",3041,114.930000305176,114.104999542236
"79",3064,101.209999084473,103.090000152588
