"","i_vol","a_vol","r_vol"
"1",904,58565200,5436466.66666667
"2",905,30337100,8041133.33333333
"3",911,30401400,14501800
"4",964,31241400,17532350
"5",966,28395000,18941650
"6",1279,32870400,15583350
"7",1285,55278500,13432433.3333333
"8",1286,33648800,20271066.6666667
"9",1292,83120500,2621960
"10",1293,56912800,5243920
"11",1294,43896200,7865880
"12",1295,46047000,10487840
"13",1296,37078600,13109800
"14",1297,31143500,15731760
"15",1298,62990100,18353720
"16",1299,37875200,20975680
"17",1300,43160500,23597640
"18",1346,41603500,8789250
"19",1551,28332800,6418033.33333333
"20",1552,42362800,12836066.6666667
"21",1554,31681100,21105833.3333333
"22",1555,27743000,22957566.6666667
"23",1670,30076500,10118000
"24",2062,48351800,11676650
"25",2105,27809600,12419450
"26",2228,38764400,4308200
"27",2427,32666900,18192100
"28",2433,38154700,23306800
"29",2458,47478900,17879500
"30",2565,34450600,17366500
"31",2572,29795500,22335750
"32",3009,38832700,6623200
"33",3013,26866200,7793400
"34",3014,32272200,3896700
