,Open,High,Low,Close,Adj Close,Volume,oil,dollar,PETR4,PETROBRAS,CRISE,isPartial
2020-05-04 10:00:00,17.43000030517578,17.6200008392334,17.350000381469727,17.520000457763672,17.520000457763672,0.0,19.84000015258789,5.5746002197265625,3.0,7.0,76.0,False
2020-05-04 11:00:00,17.520000457763672,17.59000015258789,17.40999984741211,17.420000076293945,17.420000076293945,8867100.0,19.809999465942383,5.59060001373291,2.0,5.0,80.0,False
2020-05-04 12:00:00,17.420000076293945,17.469999313354492,17.229999542236328,17.239999771118164,17.239999771118164,9610700.0,19.8700008392334,5.571199893951416,5.0,13.0,57.0,False
2020-05-04 13:00:00,17.239999771118164,17.329999923706055,17.229999542236328,17.299999237060547,17.299999237060547,5103400.0,20.200000762939453,5.567999839782715,21.0,21.0,89.0,False
2020-05-04 14:00:00,17.299999237060547,17.309999465942383,17.200000762939453,17.25,17.25,4075100.0,20.219999313354492,5.562600135803223,34.0,37.0,63.0,False
2020-05-04 15:00:00,17.25,17.3799991607666,17.18000030517578,17.329999923706055,17.329999923706055,7507000.0,20.8700008392334,5.55049991607666,28.0,24.0,60.0,False
2020-05-04 16:00:00,17.31999969482422,17.56999969482422,17.280000686645508,17.3799991607666,17.3799991607666,9918000.0,21.270000457763672,5.520999908447266,32.0,22.0,51.0,False
2020-05-05 10:00:00,17.899999618530273,18.479999542236328,17.889999389648438,18.40999984741211,18.40999984741211,0.0,24.020000457763672,5.50029993057251,3.0,9.0,42.0,False
2020-05-05 11:00:00,18.40999984741211,18.450000762939453,18.139999389648438,18.200000762939453,18.200000762939453,8628600.0,23.399999618530273,5.550600051879883,7.0,7.0,57.0,False
2020-05-05 12:00:00,18.200000762939453,18.389999389648438,18.170000076293945,18.329999923706055,18.329999923706055,6708500.0,24.020000457763672,5.559599876403809,9.0,11.0,64.0,False
2020-05-05 13:00:00,18.329999923706055,18.389999389648438,18.260000228881836,18.290000915527344,18.290000915527344,5991200.0,24.709999084472656,5.570899963378906,26.0,18.0,61.0,False
2020-05-05 14:00:00,18.280000686645508,18.34000015258789,18.139999389648438,18.31999969482422,18.31999969482422,8070600.0,24.479999542236328,5.579599857330322,31.0,19.0,73.0,False
2020-05-05 15:00:00,18.31999969482422,18.360000610351562,18.270000457763672,18.299999237060547,18.299999237060547,6212700.0,24.440000534057617,5.576000213623047,18.0,21.0,62.0,False
